Тип строки,Наименование,Наименование артикула,Код артикула,Валюта,ID артикула,Цена,Доступен для заказа,Зачеркнутая цена,Закупочная цена,В наличии,ID товара,Краткое описание,Описание,Наклейка,Статус,Выбор вариантов товара,Тип товаров,Теги,Облагается налогом,Заголовок,META Keywords,META Description,Ссылка на витрину,Адрес видео на YouTube или Vimeo,Дополнительные параметры,Изображения товаров,Цвет,Материал,Высота,Толщина,Ширина
product_variant,Арка Эллада,Эл-2П-БЯ-22,59,RUB,,8120,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2450,400-590,900-1000
product_variant,Арка Эллада,Эл-2П-БЯ-14,60,RUB,,7000,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belyj-yasen_preview.jpg,Белый ясень,,2450,190,900-1000
product_variant,Арка Эллада,Эл-2П-ДА-7,61,RUB,,7280,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2150,200-390,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-ДА-11,62,RUB,,7560,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2150,400-590,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-ДА-3,63,RUB,,6440,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2150,190,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-ДА-8,64,RUB,,7980,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2150,200-390,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-ДА-12,65,RUB,,8260,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2150,400-590,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-ДА-4,66,RUB,,7140,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2150,190,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-ДА-5,67,RUB,,7280,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2150,200-390,800-900
product_variant,Арка Эллада,Эл-2П-ДА-9,68,RUB,,7560,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2150,400-590,800-900
product_variant,Арка Эллада,Эл-2П-ДА-1,69,RUB,,6440,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2150,190,800-900
product_variant,Арка Эллада,Эл-2П-ДА-6,70,RUB,,7280,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2150,200-390,900-1000
product_variant,Арка Эллада,Эл-2П-ДА-10,71,RUB,,7560,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2150,400-590,900-1000
product_variant,Арка Эллада,Эл-2П-ДА-2,72,RUB,,6440,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2150,190,900-1000
product_variant,Арка Эллада,Эл-2П-ДА-15,73,RUB,,7000,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/dub-antik_preview.jpg,Дуб антик,,2450,200-390,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БД-7,74,RUB,,7280,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2150,200-390,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БД-11,75,RUB,,7560,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2150,400-590,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БД-3,76,RUB,,6440,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2150,190,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БД-8,77,RUB,,7980,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2150,200-390,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БД-12,78,RUB,,8260,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2150,400-590,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БД-4,79,RUB,,7140,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2150,190,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БД-5,80,RUB,,7280,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2150,200-390,800-900
product_variant,Арка Эллада,Эл-2П-БД-9,81,RUB,,7560,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2150,400-590,800-900
product_variant,Арка Эллада,Эл-2П-БД-1,82,RUB,,6440,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2150,190,800-900
product_variant,Арка Эллада,Эл-2П-БД-6,83,RUB,,7280,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2150,200-390,900-1000
product_variant,Арка Эллада,Эл-2П-БД-10,84,RUB,,7560,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2150,400-590,900-1000
product_variant,Арка Эллада,Эл-2П-БД-2,85,RUB,,6440,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2150,190,900-1000
product_variant,Арка Эллада,Эл-2П-БД-19,86,RUB,,7840,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2450,200-390,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БД-23,87,RUB,,8120,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2450,400-590,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БД-15,88,RUB,,7000,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2450,190,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БД-20,89,RUB,,8540,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2450,200-390,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БД-24,90,RUB,,8820,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2450,400-590,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БД-16,91,RUB,,7700,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2450,190,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БД-17,92,RUB,,7840,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2450,200-390,800-900
product_variant,Арка Эллада,Эл-2П-БД-21,93,RUB,,8120,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2450,400-590,800-900
product_variant,Арка Эллада,Эл-2П-БД-13,94,RUB,,7000,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2450,190,800-900
product_variant,Арка Эллада,Эл-2П-БД-18,95,RUB,,7840,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2450,200-390,900-1000
product_variant,Арка Эллада,Эл-2П-БД-22,96,RUB,,8120,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2450,400-590,900-1000
product_variant,Арка Эллада,Эл-2П-БД-14,97,RUB,,7000,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/belenyj-dub_preview.jpg,Беленый дуб,,2450,190,900-1000
product_variant,Арка Эллада,Эл-2П-БЭ-7,98,RUB,,7280,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/beloe-derevo_preview.jpg,Белое дерево,,2150,200-390,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БЭ-11,99,RUB,,7560,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/beloe-derevo_preview.jpg,Белое дерево,,2150,400-590,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БЭ-3,100,RUB,,6440,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/beloe-derevo_preview.jpg,Белое дерево,,2150,190,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БЭ-8,101,RUB,,7980,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/beloe-derevo_preview.jpg,Белое дерево,,2150,200-390,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БЭ-12,102,RUB,,8260,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/beloe-derevo_preview.jpg,Белое дерево,,2150,400-590,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БЭ-4,103,RUB,,7140,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/beloe-derevo_preview.jpg,Белое дерево,,2150,190,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БЭ-5,104,RUB,,7280,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/beloe-derevo_preview.jpg,Белое дерево,,2150,200-390,800-900
product_variant,Арка Эллада,Эл-2П-БЭ-9,105,RUB,,7560,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/beloe-derevo_preview.jpg,Белое дерево,,2150,400-590,800-900
product_variant,Арка Эллада,Эл-2П-БЭ-1,106,RUB,,6440,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/beloe-derevo_preview.jpg,Белое дерево,,2150,190,800-900
product_variant,Арка Эллада,Эл-2П-БЭ-6,107,RUB,,7280,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/beloe-derevo_preview.jpg,Белое дерево,,2150,200-390,900-1000
product_variant,Арка Эллада,Эл-2П-БЭ-10,108,RUB,,7560,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/beloe-derevo_preview.jpg,Белое дерево,,2150,400-590,900-1000
product_variant,Арка Эллада,Эл-2П-БЭ-2,109,RUB,,6440,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/beloe-derevo_preview.jpg,Белое дерево,,2150,190,900-1000
product_variant,Арка Эллада,Эл-2П-БЭ-19,110,RUB,,7840,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/beloe-derevo_preview.jpg,Белое дерево,,2450,200-390,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БЭ-23,111,RUB,,8120,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/beloe-derevo_preview.jpg,Белое дерево,,2450,400-590,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БЭ-15,112,RUB,,7000,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/beloe-derevo_preview.jpg,Белое дерево,,2450,190,700-1300 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БЭ-20,113,RUB,,8540,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/beloe-derevo_preview.jpg,Белое дерево,,2450,200-390,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БЭ-24,114,RUB,,8820,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/beloe-derevo_preview.jpg,Белое дерево,,2450,400-590,700-1700 со сводорасширителем
product_variant,Арка Эллада,Эл-2П-БЭ-16,115,RUB,,7700,1,0,0,1000,,,,,,,,,,,,,,,,https://lesmastyle.ru/files/shop/arki/ellada/beloe-derevo_preview.jpg,Белое дерево,,2450,190,700-1700 со сводорасширителем
